audio,caption
5DxuR1YuhSw-0.2.wav,هاد الكتاب هدا من بين الكتوبة المفضلين عندي حيت حسب الرأي ديالي كيعلمك وحدة من بين اهم المهارات لي خاصك تعلمهم فهاد الوقت الا وهي التواصل كيفاش تهضر 
5DxuR1YuhSw-10.2.wav,مع بنادم غنعاودها ولكن دابا ركز معايا كيعلمك وحدة من بين اهم المهارات اللي خاصك تعلمهم فهاد الوقت علاش قلت ليك هاد الوقت بالخصوص تقدر تجي  
5DxuR1YuhSw-20.2.wav,عندي وتقولي راه وخا هكاك كنا تزادينا هادي واحد الخمسين عام غيكون خصنا نتعلموها انا غنشرح علاش حنا كبشر طبيعيين كنتعلمو مهارة التواصل عن طريق 
5DxuR1YuhSw-30.2.wav,تطبيق كتزاد كتلقى راسك وسط مجتمع كتلاقى مع دراري قدك وكتبدا غادي و كتكبر ونتا ولا نتي كتكبر كتلاقا مع ناس كتر كتهدر مع ناس كتر وكتبقى مهارة  
5DxuR1YuhSw-40.2.wav,التواصل ديالك غادا وكتزاد ضروري التطبيق باش طلع من نيفو د هاد المهارة ولكن باش طبق شنو خاصك خاصك الناس اللي تهضر معاهم خاصك المجتمع 
5DxuR1YuhSw-50.2.wav,خصك واحد الدائرة اجتماعية هاد الجملة ديال خاصك واحد الدائرة اجتماعية عليها ضاير الفيلم كامل باش تكون عندك واحد الدائرة اجتماعية اصلا
5DxuR1YuhSw-60.2.wav,حتاج يكون عندك مهارة التواصل فهمتي البلان هانتا غا فكر معايا باش تعلم خاصك واحد الدائرة اجتماعية ديك الدائرة الإجتماعية باش تكون عندك خصك تكون مع
5DxuR1YuhSw-70.2.wav,مهارة التواصل حيت كيفاش غتكون عندك ونتا اصلا مكتعرفش تهضر مزيان كيفاش غتكون عندك دائرة اجتماعية ونتا ولا نتي ماشي انسان محبوب ماشي خفيف
5DxuR1YuhSw-80.2.wav,قلب وهذا مشكل صنعاتو التكنولوجيا داكشي علاش في البدية د الفيديو قلت لك هادي من من اهم المهارات لي خصك تعلمهم فهاد الوقت حيت فهاد الوقت هدا مع 
5DxuR1YuhSw-90.2.wav,مع بانو التيليفونات بنادم ولا كيدوز حياتو كاملة هاز التيليفون وما كيتخلطش مع ناس لي فلاج ديالو مكيكريش واحد الدائرة اجتماعية حيت شحال هادي بنادم كان 
5DxuR1YuhSw-100.2.wav,يتزاد كيخرج يلعب مع ولاد حومتو وكيكبر معاهم وكيتزاد مثلا بواحد زيرو على عشرة مهارات التواصل كيخرج للزنقة كيطلع لواحد على عشرة كيزيد شوية كيطلع لجوج
